code_id,immediate_parent_code_id
8,0
14,0
2658,8
1962,8
2293,8
2463,8
1865,8
2564,8
2343,8
2661,8
2598,8
1851,8
1813,8
2679,8
1886,8
2693,8
2210,8
2333,8
2709,8
2380,8
2447,14
2495,14
2587,14
2476,14
2559,14
2593,14
2196,14
2711,14
2578,14
2703,14
2348,14
1945,14
1814,1813
1815,1813
1816,1813
1817,1813
1818,1813
1821,1813
1822,1813
1823,1813
2716,1813
1824,1813
1825,1813
1826,1813
1827,1813
1828,1813
1829,1813
1832,1813
1833,1813
1834,1813
1837,1813
1838,1813
1839,1813
1840,1813
1841,1813
1842,1813
1843,1813
1844,1813
1849,1813
1819,1818
1820,1818
1835,1834
1836,1834
1845,1844
1846,1844
1847,1844
1848,1844
1850,1849
1852,1851
1853,1851
1854,1851
1855,1851
1856,1851
1857,1851
1858,1851
1859,1851
1860,1851
1861,1851
1862,1851
1863,1862
1864,1862
1866,1865
1867,1865
1868,1865
1869,1865
1870,1865
1871,1865
1884,1865
1873,1871
1872,1871
1874,1871
1875,1871
1876,1871
1877,1871
1878,1871
1885,1871
1879,1871
1880,1871
1881,1871
1882,1871
1883,1871
1887,1886
1888,1886
1890,1886
1889,1886
1924,1886
1942,1886
1891,1890
1892,1890
1893,1890
1894,1890
1895,1890
1896,1890
1897,1890
1898,1890
1899,1890
1900,1890
1901,1890
1902,1890
1903,1890
1904,1890
1905,1890
1906,1890
1907,1890
1908,1890
1909,1890
1910,1890
1911,1890
1912,1890
1913,1890
1914,1890
1915,1890
1916,1890
1917,1890
1918,1890
1919,1890
1920,1890
1921,1890
1922,1890
1923,1890
1925,1924
1926,1924
1927,1924
1928,1924
1929,1924
1930,1924
1931,1924
1932,1924
1933,1924
1934,1924
1935,1924
1936,1924
1937,1924
1938,1924
1939,1924
1940,1924
1941,1924
1943,1942
1944,1942
1946,1945
1947,1945
1951,1945
1952,1945
1956,1945
1957,1945
1958,1945
1959,1945
1960,1945
1961,1945
2717,1945
1948,1947
1949,1947
1950,1947
1953,1952
1954,1952
1955,1952
1963,1962
1966,1962
1972,1962
1973,1962
1974,1962
1980,1962
1981,1962
1988,1962
1997,1962
1998,1962
1999,1962
2719,1962
2000,1962
2029,1962
2186,1962
2030,1962
2031,1962
2107,1962
2032,1962
2036,1962
2046,1962
2054,1962
2055,1962
2063,1962
2193,1962
2156,1962
2071,1962
2095,1962
2096,1962
2104,1962
2122,1962
2133,1962
2173,1962
2108,1962
2117,1962
2118,1962
2119,1962
1964,1963
1965,1963
1967,1966
1968,1966
1969,1966
1970,1966
1971,1966
2727,1966
1975,1974
1976,1974
1977,1974
1978,1974
1979,1974
1982,1981
1983,1981
1984,1981
1985,1981
1986,1981
1987,1981
1989,1988
1990,1988
1991,1988
2732,1988
1992,1988
1993,1988
1994,1988
2728,1988
1995,1988
1996,1988
2001,2000
2002,2000
2003,2000
2004,2000
2005,2000
2006,2000
2007,2000
2008,2000
2009,2000
2733,2000
2010,2000
2011,2000
2012,2000
2013,2000
2014,2000
2015,2000
2016,2000
2017,2000
2018,2000
2019,2000
2020,2000
2021,2000
2022,2000
2023,2000
2729,2000
2024,2000
2025,2000
2026,2000
2027,2000
2028,2000
2033,2032
2034,2032
2035,2032
2720,2036
2037,2036
2038,2036
2039,2036
2040,2036
2041,2036
2042,2036
2043,2036
2044,2036
2045,2036
2047,2046
2048,2046
2049,2046
2050,2046
2051,2046
2052,2046
2053,2046
2056,2055
2057,2055
2058,2055
2059,2055
2060,2055
2061,2055
2062,2055
2064,2063
2065,2063
2066,2063
2067,2063
2068,2063
2069,2063
2070,2063
2072,2071
2073,2071
2074,2071
2075,2071
2076,2071
2077,2071
2078,2071
2079,2071
2080,2071
2081,2071
2082,2071
2083,2071
2084,2071
2085,2071
2086,2071
2087,2071
2088,2071
2089,2071
2090,2071
2091,2071
2092,2071
2730,2071
2093,2071
2094,2071
2097,2096
2098,2096
2099,2096
2100,2096
2101,2096
2102,2096
2103,2096
2105,2104
2106,2104
2109,2108
2110,2108
2731,2108
2111,2108
2112,2108
2113,2108
2114,2108
2115,2108
2116,2108
2120,2119
2121,2119
2123,2122
2124,2122
2125,2122
2126,2122
2127,2122
2128,2122
2129,2122
2130,2122
2131,2122
